title,company-name,location,type,salary_package,company_requirements
Receptionist,Kive Consulting,"Mahipalpur, Delhi, Delhi",,"From ₹35,000","Keep an eye on security and telecommunications systems.
Answer visitors’ questions, calls, and emails, and provide them with the relevant information."
Customer Relationship Executive,beGalileo,"Remote in Bengaluru, Karnataka",Full-time ,,"Feedback and Meetings: Conduct regular meetings with teachers to discuss performance, provide feedback, and address any issues."
Office Admin,KoiReader Technologies,Remote,,,"Minimum 1 year of experience in an administrative role (or relevant experience).
Manage day-to-day office operations and organize company documents, records,…"
Customer Service Representative,Times Internet Limited,Remote,,"₹40,000 - ₹50,000",1.You will have the responsibility of taking complete ownership in sorting out the queries of the prospective /existing investors so that he/she can invest …
Office Administrator,SUDHA HOSPITALS,"Erode, Tamil Nadu",Full-time ,,"FOLLOW UP DAILY WORK ROUTINE.
Microsoft Office: 1 year (Preferred)."
Remote Canva Designer,Nidhi Digital,Remote,,,"In this role, you will design visually engaging graphics, social media posts, and short videos and YouTube videos that align with our brand's identity."
Marketing and Finance Intern,Genalini Information Technology & Consultants,Remote,Internship,,"GoRight Tech, a start up level Business Consulting company located in Coimbatore and Madurai.
GoRight Tech. involved in Human Resource and Finance Consulting,…"
Social Media Marketer,Wing AI,Remote,Monday to Friday ,,"Job Types: Full-time, Permanent.
Social media marketing: 1 year (Preferred).
Total work: 1 year (Preferred)."
Marketing and Finance Intern,Genalini Information Technology & Consultants,Remote,,"From ₹5,000",GoRight offers internship opportunities for management students through online and offline platform in our company with the below eligibility criteria.
International Process Experts,Votiko 24 *7,Remote,Internship,,"At least 3 years of experience in an international call center environment.
Join Votiko Solutions, where every call is an opportunity, and every interaction is…"
Subject Matter Expert/ Statistics/ Freelancer/ Remote/Fresher,Go ask now technology pvt ltd,Remote,Monday to Friday ,,"Educational Qualifications - Post graduation in Accounts .
Pay: Up to ₹15,999.00 per month.
GoAskNow is looking for Subject Matter Experts-Statistics Candidates…"
ERP Data Entry Executive,Smart Teachnology,"Ahmedabad, Gujarat",,"Up to ₹15,999","And operate ERP systems, including Trisoft, SAP, Oracle, or industry-specific.
Pay: ₹20,000.00 - ₹22,983.97 per month.
And update data with speed and precision."
Assignment Expert,Tutorsolve international,Remote,Full-time ,,"Don't apply if you are freshers.
Please apply if you have experience in this field.
Need Academic Assignment writers for Solving academic Assignment for…"
Procure to Pay Operations Associate,Accenture,"Bengaluru, Karnataka",,,"Roles and Responsibilities: •In this role you are required to solve routine problems, largely through precedent and referral to general guidelines • Your…"
SEO Intern,Reportsinsights consulting Pvt. Ltd.,Remote,,"₹20,000.00 - ₹22,983.97","Pay: ₹5,000.00 per month.
Job Title: SEO Intern - Europe Shift (4PM – 1AM).
Working Days – Monday to Friday.
Working Type – Complete Work From Home Job."
Back Office Assistant,ROUND AGI,"Brahmapur, Orissa",Full-time,,"If you have excellent communication skills, a positive attitude, and a keen eye for detail, we want to hear from you!
Competitive salary and benefits package."
Data Entry Operator,RajaRajeswari Medical College & Hospital,"Bengaluru, Karnataka",,,"We publish our vacancies in this page whenever they arise.
If you are a qualified person who is keen to get a satisfying job, you can apply at hr@rrgroupinsts…"
Digital Marketing Intern,Make Fit Fitness,Remote,Full-time,,"Pay: ₹12,000.00 - ₹24,000.00 per month.
Experience in Social media and preferred.
Job Types: Full-time, Part-time, Permanent, Fresher, Internship, Temporary,…"
Data Entry Operator (DEO),ACE INFOTEXiS PVT.LTD .,"Chandigarh, Chandigarh",,,"Pay: ₹20,000.00 - ₹25,000.00 per month.
Urgently require a Data Entry Operator.
Salary: Rs.20,000 - Rs.25,000.
Experience: Minimum 1 Year experience.*."
PGT/TGT Hindi,Brahmavid The Global School3.3,"Raipur, Chhattisgarh",,"₹5,000","Experience: 3 years and above.
Pay: From ₹15,000.00 per month.
Update herself/himself on the best practices.
Maintain the record of competence, performance, and…"
Administration Officer,Duncans Tea Limited,"Kolkata, West Bengal",Internship ,,Administrative Officer who will support our daily office procedures and ensure our administrative activities run smoothly on a daily and long-term basis.
ASSISTANT SUPERVISOR,SHREYANSHE ENTERPRISE,"Mumbai, Maharashtra",Monday to Friday ,,"This person will orchestrate our big-picture goals, strengthen our brand, and define the path to companywide success.
Pay: ₹15,000.00 - ₹20,000.00 per month."
Administration Assistant,Roveen Corporate Services Private Limited,"Tenkasi, Tamil Nadu",,"From ₹15,000","The desire candidate can call us 8496966906.
The 3-month training period will be conducted in Bangalore.
Pay: ₹30,000.00 - ₹35,000.00 per month."
Customer Service Representative,Trigent Software Pvt Ltd,"Bengaluru, Karnataka",,"Up to ₹60,000","Provide excellent experience to the candidates.
Ensure and maintain the security and confidentiality of client data.
Customer service: 1 year (Preferred)."
Data Researcher,Funfull Inc.,"Ahmedabad, Gujarat",Full-time,,"As a Data Researcher, you will play a crucial role in analyzing financial data and providing actionable insights to support our business development efforts."
Digital Supervisor,SIGHT DREAMIN MEDIA,"Remote in Surat, Gujarat",Monday to Friday ,,"Hiring ,direct and assign employees as needed to ensure all aspects of quality product or service delivery.
Highschool diploma and equivalent can apply."
University Representative - EUROPE,VINTAGE IMMIGRATION,Remote,,"₹40,000 - ₹80,000","Establish and maintain positive, productive relationships with education agents, counsellors, and international education consultants."
Teller-North,IDFC FIRST Bank,India,Full-time ,,"The role bearer would be responsible for client engagement, customer service, operations, liability build up, cross sales at the designated branch and ensure…"
Customer Support Executive,Miko,Remote,,,Provide feedback and recommendations to the product team based on direct experience with current and potential customer's feedback.
Drug Safety Associate,Fusion Market Research,"Gujrat, West Bengal",Full-time,,"Monitoring safety literature to stay current on the latest safety information related to the company's products.
Job Types: Full-time, Permanent, Fresher."
Freelance Marketing,SENTHUR VELAAN FABRICATOR,Remote,,"₹27,247.25 - ₹50,958.18","Need a Experienced Person in Steel fabricated Components.
Contacting Client and Make link with the company.
Work as freelancer no time limit."
Airline Supervisor,Shine Airways,"Nagar, Uttar Pradesh",Full-time ,,They supervise all the activities by the ground staff related to their baggage or luggage and direct them properly in completing their given task of.
tellecaller,OUTREACH INTERGRATED SERVICES PVT LTD,"Remote in Jaipur, Rajasthan",,,We are hiring for New fresher Callers Candidate should have good Skills of Hindi to talk customer easily and give details of product and services to customer…
Dispatcher,ZFS FREIGHT LTD,Remote,,"₹8,383.43 - ₹41,810.81","The Dispatcher will be responsible for coordinating logistics and ensuring the efficient transportation of goods.
Manage shipping and receiving processes."
Quality Check Executive,ArtPark - I-Hub for Robotics and Autonomous...,Remote,Contractual / Temporary ,,"When we source data from the ground, it often needs to be inspected or curated as it could have various types of issues."
Digital Marketing Intern,Digitrio info solutions Pvt. Ltd.,Remote,,,Ltd. Duration: 3-6 Months (with potential for full-time based on performance) Stipend: Competitive About Us: Digitrio Info Solutions Pvt.
ASSISTANT SUPERVISOR,SUNRISE CONSTRUCTION COMPANY,Remote,,"₹31,800","Good in the cleaning industry.
This is a part-time remote role for an Assistant Supervisor at Sunrise Construction Company.
Job Types: Full-time, Part-time."
SEO Intern/Trainee,TechMile,Remote,,"₹8,877.03 - ₹12,500.00","Knowledge of MS Office / Google Drive.
Data/Article Posting on Websites.
Knowledge of Social Platform(Facebook, Instagram, etc)."
Intern Recruiter,Philomath Research,Remote,,"₹15,000 - ₹17,000","Prior experience as an HR Recruiter.
Sending job offer and recruiting emails, and also answering queries related to compensation and benefits."
Data Entry Executive,OG Web Solutions Pvt. Ltd.,"Gurugram, Haryana",Internship,,"You will play a key role in data management, customer order processing, and sales support, ensuring a seamless experience for our clients and contributing to…"
Drug Safety Associate,Fusion Market Research,"Gujrat, West Bengal",,,"Monitoring safety literature to stay current on the latest safety information related to the company's products.
Job Types: Full-time, Permanent, Fresher."
University Representative - EUROPE,VINTAGE IMMIGRATION,Remote,,"₹27,247.25 - ₹50,958.18","Establish and maintain positive, productive relationships with education agents, counsellors, and international education consultants."
SEO Intern,Reportsinsights consulting Pvt. Ltd.,Remote,Full-time ,,"Working Type – Complete Work From Home Job.
Type: Internship with PPO - WFH.
Create accounts on relevant platforms for content distribution and backlink…"
MIS Executive (WFH),Axiom Landbase,"Remote in Gurugram, Haryana",,,"Data management and Information distribution in an accurate and timely manner.
MIS Executive shall optimize. manage and secure the organization’s data and o…"
Online Chat Representative voice (non voice),manyfits,"Vadodara, Gujarat",,"₹5,000","Rotational shift for boys- Day & night & evening (Any Shift of 9 Hours).
Comfortable with shift rotational girls only day.
6 Working days/ 1 Rotation Off."
Content Writer and Editor,Ozonic Global,Remote,Internship ,,"Stay updated on industry trends and best practices in content writing and editing.
Write high-quality, engaging, and original content across various niches,…"
SEO Intern/Trainee,TechMile,Remote,Monday to Friday ,,"Knowledge of MS Office / Google Drive.
Data/Article Posting on Websites.
Knowledge of Social Platform(Facebook, Instagram, etc)."
ASSISTANT SUPERVISOR,SUNRISE CONSTRUCTION COMPANY,Remote,,"₹13,000 - ₹18,000","Good in the cleaning industry.
This is a part-time remote role for an Assistant Supervisor at Sunrise Construction Company.
Job Types: Full-time, Part-time."
Data Entry Operator ( Fresher),Tring,"Hybrid work in Tenkasi, Tamil Nadu",Full-time ,,"As a Data Entry Operator (Fresher), you will be responsible for inputting, updating, and maintaining accurate data within our systems."
Chat Support Executive,salary hikers LLP,"Gurugram, Haryana",,,"*People with experience in roles such as customer care specialist, customer support representative, customer relations representative, call center…"
Customer Service Representative,Times Internet Limited,Remote,,"₹18,000 - ₹34,000",1.You will have the responsibility of taking complete ownership in sorting out the queries of the prospective /existing investors so that he/she can invest …
Digital Supervisor,SIGHT DREAMIN MEDIA,"Remote in Surat, Gujarat",Full-time ,,"Hiring ,direct and assign employees as needed to ensure all aspects of quality product or service delivery.
Highschool diploma and equivalent can apply."
